Tratamentos,S,N,H
OANGA 40,3.964101615,4.742640687,2.023811012
OANGA 40,4.5,4.858898944,2.151060265
OANGA 40,4.742640687,5.19041576,2.177796174
OANGA 40,4.372983346,4.972135955,2.088710169
OANGA 40,5.19041576,6.5,2.154388104
OANGA 40,5.398979486,6.067764363,2.238677658
OANGA 40,5.599019514,6.664414003,2.236951352
OANGA 40,4.372983346,5.791502622,2.050483795
OANGA 40,4.623105626,5.398979486,2.148029126
OANGA 40,4.972135955,6.244562647,2.17898779
OBVI  80,4.372983346,6.58276253,1.900714104
OBVI  80,5.885164807,14.5,1.663185282
OBVI  80,5.977225575,11.8137085,1.923024947
OBVI  80,6.58276253,10.74695077,2.130644045
OBVI  80,5.696152423,8.985281374,2.174813422
OBVI  80,4.623105626,5.599019514,2.11523992
OBVI  80,5.398979486,6.067764363,2.248999714
OBVI  80,5.295831523,6.244562647,2.210263138
OBVI  80,4.623105626,5.791502622,2.100624878
OBVI  80,4.105551275,6.330951895,1.953960109
OBVII  30,5.082575695,5.977225575,2.214351189
OBVII  30,5.082575695,5.885164807,2.202645001
OBVII  30,5.398979486,6.980740698,2.221046193
OBVII  30,5.398979486,6.664414003,2.227715254
OBVII  30,5.977225575,7.848469228,2.249571376
OBVII  30,4.858898944,7.282329983,2.075436447
OBVII  30,5.5,6.244562647,2.261533423
OBVII  30,6.244562647,7.641428429,2.304993075
OBVII  30,5.295831523,6.82455532,2.184339633
OBVII  30,4.372983346,5.082575695,2.090282994
OBVII  60,5.696152423,7.5,2.216391564
OBVII  60,5.398979486,6.903124237,2.169431041
OBVII  60,5.885164807,9.217797887,2.129110187
OBVII  60,5.5,6.903124237,2.202938637
OBVII  60,4.858898944,7.571067812,2.027743434
OBVII  60,4.858898944,5.977225575,2.088710169
OBVII  60,4.5,5.885164807,1.997664849
OBVII  60,5.791502622,8.5,2.195287586
OBVII  60,5.5,6.82455532,2.19292646
OBVII  60,4.5,4.623105626,2.158915308
MDUAN,3.328427125,5.885164807,1.638419958
MDUAN,3.66227766,13.26714533,1.16985073
MDUAN,4.742640687,12.33215957,1.396994983
MDUAN,3.66227766,5.295831523,1.736527396
MDUAN,4.5,8.181145748,1.771219887
MDUT,4.742640687,10.29795897,1.887804021
MDUT,5.19041576,10.03939201,1.709958677
MDUT,4.241657387,12.82882801,1.399499861
MDUT,4.105551275,7.916198487,1.650217371
MDUT,4.623105626,8.310249676,1.779062156
