Tratamentos,REP, S,  N,H
60 % MATA,1,12,18,2.322
60 % MATA,2,16,19,2.726
60 % MATA,3,18,22,2.815
60 % MATA,4,15,20,2.524
60 % MATA,5,22,36,2.737
60 % MATA,6,24,31,3.023
60 % MATA,7,26,38,3.017
60 % MATA,8,15,28,2.404
60 % MATA,9,17,24,2.716
60 % MATA,10,20,33,2.819
20 % MATA,1,15,37,1.962
20 % MATA,2,29,196,1.353
20 % MATA,3,30,128,2.025
20 % MATA,4,37,105,2.659
20 % MATA,5,27,72,2.805
20 % MATA,6,17,26,2.609
20 % MATA,7,24,31,3.059
20 % MATA,8,23,33,2.925
20 % MATA,9,17,28,2.562
20 % MATA,10,13,34,2.114
70 % MATA,1,21,30,2.939
70 % MATA,2,21,29,2.899
70 % MATA,3,24,42,2.962
70 % MATA,4,24,38,2.985
70 % MATA,5,30,54,3.061
70 % MATA,6,19,46,2.482
70 % MATA,7,25,33,3.103
70 % MATA,8,33,51,3.258
70 % MATA,9,23,40,2.837
70 % MATA,10,15,21,2.529
50 % MATA,1,19,29,2.785
50 % MATA,2,25,41,2.855
50 % MATA,3,14,24,2.29
50 % MATA,4,19,36,2.583
50 % MATA,5,20,22,2.941
50 % MATA,6,14,22,2.39
50 % MATA,7,21,52,2.353
50 % MATA,8,17,34,2.286
50 % MATA,9,20,36,2.489
40 % MATA,1,33,47,3.349
40 % MATA,2,35,62,3.178
40 % MATA,3,26,49,3.127
40 % MATA,4,31,57,3.168
40 % MATA,5,29,49,3.118
40 % MATA,6,18,31,2.506
40 % MATA,7,22,39,2.645
40 % MATA,8,29,44,3.144
40 % MATA,9,23,29,3.033
40 % MATA,10,25,39,3.062
100 % MATA,1,8,29,1.296
100 % MATA,2,10,163,0.4487
100 % MATA,3,18,140,0.8046
100 % MATA,4,10,23,1.529
100 % MATA,5,16,59,1.616
100 % MATA,6,18,96,1.926
100 % MATA,7,22,91,1.464
100 % MATA,8,14,152,0.8091
100 % MATA,9,13,55,1.323
100 % MATA,10,17,61,1.636
