TRATAMENTO,REP,RIQUEZA,ABUNDANCIA,Shannon_H
AM,I,17,72,2.315
AM,II,16,131,1.847
AM,III,10,79,1.871
AM,IV,11,48,1.94
AM,V,9,74,1.867
AM,VI,10,56,1.496
AM,VII,10,36,1.762
AM,VIII,12,83,2.112
AM,IX,8,25,1.498
AM,X,8,38,1.64
AM,XI,12,32,2.123
AM,XII,9,37,1.628
AM,XIII,6,15,1.617
BR,I,9,25,1.728
BR,II,4,12,0.837
BR,III,4,8,1.255
BR,IV,6,19,1.338
BR,V,6,14,1.71
BR,VI,8,21,1.565
BR,VII,3,34,1.085
BR,VIII,3,8,0.9003
BR,IX,9,26,1.902
BR,X,3,9,0.8487
AZ,I,8,17,1.588
AZ,II,5,10,1.359
AZ,III,3,11,0.9165
AZ,IV,7,27,1.311
AZ,V,5,27,0.9227
AZ,VI,4,15,1.137
AZ,VII,5,14,1.128
AZ,VIII,4,13,1.205
AZ,IX,4,26,1.045
AZ,X,3,3,1.099
AZ,XI,3,4,1.04
